ID,Plot,Replicate,Bird Number,Period,Minute,Species,Sex,Detection Method,Distance,New Record,Counter-sing,Site,DateC,TimeC
5793,3,2,41,3,10,MYWA,U,C,2,0,0,Stuart Lake,16-Jun-12,7:08
5794,3,2,42,3,10,VEER,U,C,2,0,0,Stuart Lake,16-Jun-12,7:08
2591,3,3,1,1,1,AMCR,U,C,1,1,0,Beaver Basin,05-Jul-10,6:21
3633,3,3,1,1,1,REVI,M,S,1,1,0,Beaver Basin,01-Jul-11,6:55
7486,3,3,1,1,1,AMRO,U,C,1,1,0,Beaver Basin,30-Jun-12,6:47
1877,3,3,1,1,1,REVI,M,S,1,1,1,Spotted Hardwood,29-Jun-10,6:15
4656,3,3,1,1,1,PUFI,M,S,1,1,0,Spotted Hardwood,28-Jun-11,6:37
6619,3,3,1,1,1,BTNW,M,S,1,1,0,Spotted Hardwood,25-Jun-12,8:12
1976,3,3,1,1,1,REVI,M,S,1,1,1,Stuart Lake,30-Jun-10,6:27
4441,3,3,1,1,1,REVI,M,S,1,1,1,Stuart Lake,26-Jun-11,6:19
5423,3,3,1,1,1,REVI,U,C,1,1,1,Stuart Lake,23-Jun-12,7:28
2592,3,3,2,1,1,CSWA,M,S,1,1,0,Beaver Basin,05-Jul-10,6:21
3634,3,3,2,1,1,WTSP,U,C,1,1,0,Beaver Basin,01-Jul-11,6:55
7487,3,3,2,1,1,REVI,M,S,2,1,0,Beaver Basin,30-Jun-12,6:47
1878,3,3,2,1,1,REVI,M,S,2,1,1,Spotted Hardwood,29-Jun-10,6:15
4657,3,3,2,1,1,REVI,M,S,2,1,0,Spotted Hardwood,28-Jun-11,6:37
6620,3,3,2,1,1,VEER,U,C,1,1,0,Spotted Hardwood,25-Jun-12,8:12
1977,3,3,2,1,1,REVI,M,S,2,1,1,Stuart Lake,30-Jun-10,6:27
4442,3,3,2,1,1,NOPA,M,S,2,1,0,Stuart Lake,26-Jun-11,6:19
5424,3,3,2,1,1,REVI,M,S,1,1,0,Stuart Lake,23-Jun-12,7:28
2593,3,3,3,1,1,UNWA,U,C,1,1,0,Beaver Basin,05-Jul-10,6:21
3635,3,3,3,1,1,WTSP,U,C,1,1,0,Beaver Basin,01-Jul-11,6:55
7488,3,3,3,1,1,BTNW,M,S,2,1,0,Beaver Basin,30-Jun-12,6:47
1879,3,3,3,1,1,AMRO,M,S,2,1,0,Spotted Hardwood,29-Jun-10,6:15
4658,3,3,3,1,1,BCCH,U,C,1,1,0,Spotted Hardwood,28-Jun-11,6:37
6621,3,3,3,1,1,AMRO,U,C,1,1,0,Spotted Hardwood,25-Jun-12,8:12
1978,3,3,3,1,1,REVI,M,S,2,1,1,Stuart Lake,30-Jun-10,6:27
4443,3,3,3,1,1,REVI,M,S,2,1,1,Stuart Lake,26-Jun-11,6:19
5425,3,3,3,1,1,BTNW,M,S,1,1,0,Stuart Lake,23-Jun-12,7:28
2594,3,3,4,1,2,REVI,M,S,2,1,0,Beaver Basin,05-Jul-10,6:21
3636,3,3,4,1,1,CHSP,M,S,2,1,0,Beaver Basin,01-Jul-11,6:55
7489,3,3,4,1,2,AMRE,M,S,1,1,0,Beaver Basin,30-Jun-12,6:47
1880,3,3,4,1,2,REVI,U,C,1,1,0,Spotted Hardwood,29-Jun-10,6:15
4659,3,3,4,1,1,REVI,M,S,2,1,1,Spotted Hardwood,28-Jun-11,6:37
6622,3,3,4,1,1,BCCH,U,C,2,1,0,Spotted Hardwood,25-Jun-12,8:12
1979,3,3,4,1,1,WIWR,M,S,2,1,0,Stuart Lake,30-Jun-10,6:27
4444,3,3,4,1,1,BTBW,M,S,2,1,0,Stuart Lake,26-Jun-11,6:19
5426,3,3,4,1,1,AMGO,M,S,2,1,0,Stuart Lake,23-Jun-12,7:28
